  22.31  121.96  31.69  122.83  33.0  177.63  48.40
  27.25  22.89  27.23   31.53  28.54   75.07  39.61
  33.28  99.86  19.59  109.25  20.74  111.89  28.98
  40.65  68.48  16.84   73.14  17.25   68.05  24.40
  49.65  28.77  14.60   37.25  14.99   40.52  20.49
  60.64  29.27  11.08   26.06  11.38   38.25  17.29
  74.07  25.52   8.76   22.61   9.61   36.02  14.13
  90.47  20.70   7.36   15.64   7.56   30.91  10.31
 110.50   8.68   6.97    9.41   6.94   12.21   9.30
 134.96  13.76   5.82   15.03   6.14   17.82   8.18
 164.84  14.43   4.04   12.43   4.27   15.32   5.47
 201.34  16.12   3.39   17.13   3.62   23.43   5.01
 245.92   9.35   2.61    9.46   2.80   11.08   4.00
 300.36   9.97   2.14   11.33   2.30   13.67   3.22
 366.86   8.36   1.91    8.83   2.00   10.65   2.98
 448.09   8.84   1.66    9.18   1.82    9.62   2.44
 547.30   7.07   1.55    6.77   1.65    8.73   2.22
 668.47   7.87   1.24    7.69   1.30    6.02   1.72
 816.47   7.15   1.07    7.51   1.05    7.89   1.30
 997.24   5.27   0.98    5.09   0.96    5.31   1.16
1218.03   5.70   0.94    5.66   0.94    5.17   1.08
1487.70   3.53   0.79    3.19   0.79    2.79   0.91
1817.09   3.33   0.75    3.23   0.78    2.70   0.86
2219.40   3.44   0.63    3.31   0.62    2.65   0.64

