  22.31  63.70  21.61  74.42  22.62  107.60  35.44
  27.25  30.06  17.22  38.67  20.61  66.02  30.09
  33.28  73.26  13.96  82.86  16.32  93.90  22.64
  40.65  44.88  12.16  53.44  13.74  50.51  20.24
  49.65  28.61   9.98  32.43  10.95  36.85  15.80
  60.64  21.14   7.67  18.12   8.63  31.80  12.23
  74.07  24.35   5.80  19.22   6.82  30.23  10.61
  90.47  15.46   5.48  15.01   6.16  29.77   8.42
 110.50   7.42   4.60  11.58   5.27  18.38   6.51
 134.96   9.16   3.55  11.49   4.30  16.27   6.25
 164.84   6.50   3.02   8.92   3.48   9.30   4.61
 201.34   8.04   2.28  10.52   2.76  18.22   3.98
 245.92   6.10   1.97   6.34   2.24   8.01   3.47
 300.36   5.52   1.44   7.87   1.75  11.24   2.44
 366.86   5.46   1.32   6.33   1.58   7.18   2.21
 448.09   6.39   1.06   6.80   1.28   7.60   1.90
 547.30   4.87   1.08   4.75   1.26   6.17   1.71
 668.47   4.80   0.81   5.65   0.93   5.28   1.30
 816.47   4.30   0.78   5.36   0.91   5.71   1.19
 997.24   3.14   0.66   3.53   0.74   4.78   0.97
1218.03   3.38   0.62   4.15   0.69   4.26   0.92
1487.70   2.45   0.49   2.61   0.60   2.58   0.70
1817.09   2.26   0.45   2.44   0.54   2.21   0.68
2219.40   1.94   0.38   2.20   0.43   1.98   0.48

