  22.31   6.48  26.63    7.84  33.83  -13.01  49.56
  27.25  45.09  24.06   58.31  32.65   80.30  51.75
  33.28  63.59  18.76   66.80  23.73   92.62  40.50
  40.65  23.37  16.81   30.48  20.99   28.38  34.65
  49.65  29.98  13.69   28.97  16.74   31.42  24.16
  60.64  14.40   9.90    8.98  12.68   21.85  18.54
  74.07  26.14   7.77   20.19  10.48   30.27  16.33
  90.47  11.48   7.59   14.53  10.79   36.54  14.80
 110.50   4.26   5.64   12.35   7.42   25.49  11.25
 134.96   5.36   4.89    7.00   6.18   14.19   9.68
 164.84   0.17   4.29    3.90   5.58    0.87   8.74
 201.34   2.07   3.19    3.46   4.27   10.81   6.29
 245.92   2.92   2.97    1.68   3.48    1.99   5.43
 300.36   3.14   2.29    4.94   3.00   10.39   4.27
 366.86   2.93   1.74    3.15   2.21    1.52   3.39
 448.09   4.08   1.48    3.25   2.06    4.04   3.00
 547.30   3.03   1.17    2.17   1.61    1.79   2.42
 668.47   2.06   0.91    2.62   1.22    4.11   1.92
 816.47   2.02   0.88    2.69   1.12    3.02   1.89
 997.24   1.26   0.78    1.50   1.02    3.94   1.41
1218.03   1.33   0.59    2.24   0.81    2.91   1.29
1487.70   1.50   0.51    1.91   0.69    2.48   1.04
1817.09   1.23   0.44    1.19   0.56    1.25   0.89
2219.40   0.77   0.36    0.96   0.40    1.15   0.59
